CustomerID,LastPurshaceDate,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,R_rank_norm,F_rank_norm,M_rank_norm,RFM_Score,Customer_segment,TransactionID,PurchaseDate,Quantity,Unit price,Age,Gender,Region,ByCash,Color,ProductOnSale,ProductSeason,Reviews,Salary,Score,date,TotalCost
1003,2023-04-20,217,2,2216.0,212.0,544.0,551.0,31.0,80.0,79.0,67.0,Potential Loyalists,716866,2023-04-20,2.0,687.0,41,male,Asia,0,Green,1.0,fall,"Adidas basketball shorts for kids combine style and functionality, meeting the demands of young players.",528,5,2023-04-20,1374.0
1003,2023-04-20,217,2,2216.0,212.0,544.0,551.0,31.0,80.0,79.0,67.0,Potential Loyalists,597699,2022-12-14,2.0,421.0,34,male,Asia,0,Green,0.0,summer,"Adidas baseball cleats for kids offer excellent grip on the diamond, enhancing their agility and performance.",1137,5,2022-12-14,842.0
1014,2023-06-07,169,2,3628.0,298.0,544.0,631.0,43.0,80.0,79.0,70.0,Potential Loyalists,343430,2023-03-02,2.0,915.0,28,female,South America ,0,Cyan,0.0,spring,"Adidas running shoes strike the perfect balance between comfort, style, and performance.",1096,5,2023-03-02,1830.0
1014,2023-06-07,169,2,3628.0,298.0,544.0,631.0,43.0,80.0,79.0,70.0,Potential Loyalists,688611,2023-06-07,2.0,899.0,48,male,Asia,0,Orange,1.0,summer,"Adidas volleyball shoes for kids provide comfort and support, enhancing their performance on the court.",528,5,2023-06-07,1798.0
1043,2023-06-02,174,2,2570.0,288.0,544.0,574.0,42.0,80.0,79.0,70.0,Potential Loyalists,546110,2023-01-15,2.0,386.0,55,male,Asia,1,Lavender,0.0,spring,Adidas Copa Mundial soccer cleats are legendary. Great fit and performance – a definite 5-star rating.,579,5,2023-01-15,772.0
1043,2023-06-02,174,2,2570.0,288.0,544.0,574.0,42.0,80.0,79.0,70.0,Potential Loyalists,881450,2023-06-02,2.0,899.0,43,male,South America ,1,Green,0.0,spring,"Adidas soccer shorts for kids are stylish and comfortable, perfect for young athletes.",574,5,2023-06-02,1798.0
1080,2023-11-19,4,1,186.0,674.0,233.0,84.0,98.0,34.0,34.0,50.0,Potential Loyalists,563420,2023-11-19,1.0,186.0,42,female,South America ,1,Blue,0.0,spring,The Adidas Originals Firebird track jacket is a wardrobe staple. Classic and versatile – 5 stars!,470,5,2023-11-19,186.0
1088,2023-11-21,2,1,471.0,681.0,233.0,223.0,99.0,34.0,34.0,50.0,Potential Loyalists,342032,2023-11-21,1.0,471.0,40,female,South America ,0,Cyan,1.0,fall,Adidas lacrosse sticks for kids are lightweight and designed for younger players.,1022,4,2023-11-21,471.0
1125,2023-04-05,232,2,778.0,186.0,544.0,364.0,27.0,80.0,79.0,66.0,Potential Loyalists,237731,2023-04-05,2.0,71.0,65,male,Asia,0,Brown,1.0,fall,"The variety of Adidas designs caters to diverse tastes, ensuring something for everyone.",414,4,2023-04-05,142.0
1125,2023-04-05,232,2,778.0,186.0,544.0,364.0,27.0,80.0,79.0,66.0,Potential Loyalists,166107,2023-03-07,2.0,318.0,57,female,South America ,0,Cyan,1.0,summer,"Adidas lacrosse balls for kids are durable and sized appropriately, perfect for young lacrosse players.",420,5,2023-03-07,636.0
